age,annual_income,employment_type,years_employed,credit_score,existing_debt,loan_amount,loan_term,approval_status
27,75737,Employed,1,701,19250,26172,48,1
49,39724,Employed,1,577,23150,271997,120,0
53,48942,Employed,29,601,34888,282192,240,0
45,49130,Employed,2,850,28145,91123,36,1
54,215995,Unemployed,16,642,57134,156563,240,0
51,51344,Self-Employed,7,712,15896,191833,360,1
46,86617,Unemployed,22,524,44813,173270,60,0
28,81786,Employed,2,850,37265,254321,180,1
51,75435,Unemployed,10,775,40998,99071,12,1
42,47564,Employed,11,560,15229,115017,180,1
54,69430,Unemployed,26,598,62187,280128,240,0
30,64574,Self-Employed,16,790,2050,114996,240,1
24,87037,Self-Employed,11,706,806,192710,240,1
33,114262,Employed,19,496,38197,66665,360,1
23,163781,Unemployed,2,713,42874,12657,36,0
37,64578,Self-Employed,28,850,10222,195792,48,1
54,32674,Employed,2,704,32004,86121,240,1
58,29663,Employed,4,758,27963,139092,60,0
60,87327,Self-Employed,23,704,7314,24623,12,1
61,187624,Employed,26,850,2469,58947,180,1
51,195865,Employed,6,686,48845,194004,180,1
33,41136,Employed,27,610,37311,298719,36,1
39,84486,Self-Employed,27,710,5084,208667,48,1
47,54859,Employed,21,668,20953,159893,48,1
32,84064,Self-Employed,10,594,26029,149097,48,1
33,131846,Employed,1,838,78797,289186,36,0
64,249674,Self-Employed,4,645,19982,184362,12,1
32,63019,Employed,24,674,5776,210390,24,1
23,226727,Self-Employed,13,813,51027,39531,360,1
42,89268,Unemployed,16,800,26589,166087,24,1
51,66143,Self-Employed,5,675,46167,211376,12,1
52,48783,Employed,17,696,6368,181076,12,1
46,32301,Self-Employed,14,600,30000,56047,36,0
29,66015,Self-Employed,17,605,3389,29826,180,1
36,51653,Employed,8,627,15313,216957,180,1
45,28612,Employed,12,528,18311,33380,180,0
52,31690,Self-Employed,4,537,28706,240612,120,1
53,86804,Employed,3,706,25963,106757,48,1
52,65849,Self-Employed,1,709,29426,284922,120,1
23,216503,Employed,25,763,19975,162795,180,1
34,89153,Employed,8,704,70135,106459,24,1
37,42113,Employed,7,612,20939,66367,48,0
51,34850,Employed,9,561,6276,250011,240,0
21,56959,Self-Employed,14,692,6116,282707,60,1
64,29135,Employed,17,526,10724,164476,60,1
34,81235,Employed,24,712,61212,151470,240,1
43,22595,Employed,19,556,4470,126863,24,1
28,103669,Employed,1,714,48320,151649,24,1
46,18719,Unemployed,13,668,13598,248341,60,0
61,26865,Self-Employed,8,725,7848,223200,360,1
51,79882,Self-Employed,3,754,73297,250014,36,0
21,16367,Employed,11,706,12281,239182,60,0
49,57824,Employed,25,531,56269,292681,360,0
46,121348,Employed,4,681,53551,147635,48,1
43,248059,Employed,22,741,39310,133803,36,1
41,77650,Employed,19,634,36378,178724,36,1
62,36923,Employed,24,544,29734,77588,180,0
62,209735,Employed,6,656,59189,243976,240,1
33,30222,Employed,9,603,27207,207903,12,1
57,195111,Employed,9,541,65681,239386,48,1
25,57633,Employed,4,772,23711,96658,360,1
45,57727,Self-Employed,9,812,32117,299054,360,1
59,69371,Employed,6,575,14210,283600,240,1
26,89859,Employed,4,736,68011,140327,60,1
28,23258,Self-Employed,22,500,20258,261353,180,0
28,185673,Employed,14,517,25592,296126,360,1
32,82891,Unemployed,12,574,13395,222029,120,1
59,51023,Self-Employed,13,728,16163,124264,180,1
22,125585,Employed,10,594,18073,41035,24,1
55,50382,Employed,11,731,31982,148401,120,1
55,85033,Employed,6,599,24226,273865,24,1
34,88895,Employed,0,626,73822,10901,12,0
23,63429,Employed,20,655,7967,16871,48,1
26,58268,Employed,18,702,13828,47913,360,1
31,32073,Employed,8,588,31823,159363,12,0
59,63312,Employed,4,619,32371,62022,36,1
48,71174,Unemployed,22,592,23177,291166,240,0
21,203132,Self-Employed,12,390,671,267307,12,1
31,19798,Employed,3,611,593,288367,36,1
49,207360,Self-Employed,8,705,64641,8631,12,1
60,81674,Unemployed,7,686,25431,61492,36,1
64,66724,Self-Employed,18,624,16531,99439,48,1
35,20330,Employed,4,775,10759,141511,120,1
48,57630,Self-Employed,1,668,31182,227146,12,1
24,52504,Unemployed,9,585,21991,284297,120,0
52,43983,Employed,9,742,23953,31806,360,1
34,37651,Employed,19,627,33453,89080,240,0
52,36725,Employed,20,622,28044,20997,240,0
27,148005,Unemployed,28,595,55731,160930,24,1
43,69739,Self-Employed,0,681,8706,276038,120,1
49,79019,Employed,9,782,55147,96396,36,0
60,82815,Employed,20,674,36735,240821,180,1
22,77900,Self-Employed,25,505,5110,279231,36,0
24,78019,Employed,25,539,67364,108892,120,0
41,66661,Self-Employed,19,748,36060,74122,240,1
24,51005,Self-Employed,27,624,28731,73926,36,1
32,61817,Employed,15,559,6256,260158,12,1
48,237256,Self-Employed,16,619,45253,35447,120,0
31,31230,Employed,9,664,18284,28284,36,1
46,69252,Employed,20,473,25279,257164,48,1
24,45105,Self-Employed,5,622,1619,67424,48,1
44,24067,Employed,22,550,19675,78997,240,0
36,49833,Employed,12,755,15892,22073,12,1
26,89823,Employed,15,850,65428,55601,240,1
57,68228,Employed,24,589,15352,134350,120,1
37,72316,Employed,6,812,44629,50232,12,1
26,25849,Self-Employed,24,605,12722,74286,120,1
60,70651,Employed,16,850,37823,244647,180,1
46,70573,Employed,20,552,781,119586,360,1
48,22193,Employed,7,695,17961,46971,36,1
43,53489,Unemployed,23,777,7239,273854,360,1
60,87657,Self-Employed,6,579,37711,11530,36,0
63,46629,Employed,7,679,20074,226796,48,1
39,200454,Employed,22,726,52756,124052,24,1
58,16529,Self-Employed,2,829,226,151108,360,0
26,31299,Employed,21,672,9346,267731,60,1
46,70112,Unemployed,18,811,41855,142488,60,0
50,72602,Employed,7,617,10487,267299,180,1
40,37528,Employed,20,701,16843,103696,36,1
35,25449,Employed,1,667,15223,138669,48,0
55,78429,Employed,7,683,34518,58909,360,1
23,245336,Unemployed,13,669,72766,278146,180,1
39,34374,Employed,16,461,29492,147312,360,1
24,32371,Employed,23,620,19582,290711,12,1
32,40778,Employed,20,557,2044,232208,48,0
54,32111,Unemployed,13,673,31278,293793,48,0
60,64370,Self-Employed,22,553,21909,35795,36,0
22,101190,Employed,5,653,40197,7261,360,1
32,23921,Employed,24,627,8333,272554,48,1
33,36180,Self-Employed,19,443,30502,270972,12,0
62,20482,Self-Employed,23,753,16566,27054,36,1
21,134363,Self-Employed,12,658,72124,204919,12,0
59,15987,Self-Employed,22,731,3760,158262,48,0
22,57373,Employed,18,703,34542,15651,240,1
53,84409,Unemployed,28,540,10058,260948,24,1
29,80486,Employed,1,791,30373,169226,240,1
61,33850,Employed,16,632,7461,105123,60,1
38,75426,Self-Employed,2,501,52395,44758,360,0
60,87775,Employed,27,551,40603,73803,60,0
21,84179,Self-Employed,10,798,44014,248166,12,1
25,181575,Employed,3,538,7597,208199,36,1
35,243124,Employed,22,659,23173,166475,24,1
49,35538,Unemployed,21,530,2352,138004,24,1
43,32330,Employed,16,664,340,180021,60,0
59,49714,Employed,2,682,13283,199994,12,1
38,17151,Employed,27,614,14852,244779,120,0
47,64842,Self-Employed,20,682,7684,96088,240,1
32,72272,Unemployed,11,812,56115,100071,120,1
56,68064,Employed,10,627,36304,191292,24,1
24,240575,Employed,12,717,8016,269528,12,1
28,80510,Employed,13,722,27103,254877,120,1
30,66943,Self-Employed,8,563,52887,86442,240,0
50,38854,Unemployed,7,722,20620,47727,240,0
29,81216,Employed,22,701,77064,26281,48,1
58,59810,Employed,1,689,5776,64766,24,1
36,80123,Self-Employed,27,729,68487,153694,240,1
47,75548,Employed,8,609,30750,283710,180,0
30,64035,Self-Employed,17,511,15373,167993,48,1
35,28333,Unemployed,7,647,12237,151721,24,0
31,22016,Employed,28,473,18193,204775,120,0
43,62440,Employed,10,633,53384,264994,24,1
56,181218,Employed,11,664,32441,243038,12,1
45,38478,Self-Employed,4,658,9821,207440,60,1
39,85968,Employed,8,669,66914,254134,24,1
55,49083,Employed,12,812,29320,25808,120,1
42,67747,Employed,8,587,18135,95887,180,1
23,89131,Self-Employed,21,569,33002,293816,120,0
64,42100,Employed,21,665,8016,299025,36,1
58,17064,Employed,3,639,12096,286755,12,0
32,72245,Self-Employed,1,601,30116,297575,60,1
27,34187,Employed,3,752,20936,9426,240,1
45,51308,Unemployed,1,663,31131,57428,180,0
24,28913,Employed,19,703,23067,113048,180,1
46,86473,Employed,20,655,55751,214987,12,1
58,63989,Employed,13,541,11185,163117,24,1
41,84605,Employed,13,634,67468,48527,12,1
31,29385,Unemployed,15,647,19127,232135,360,0
57,22186,Employed,5,850,619,292516,24,1
63,145745,Employed,9,830,63069,98783,24,1
42,58852,Employed,27,630,36777,286854,60,1
60,33753,Employed,28,850,12297,73323,360,1
47,42176,Employed,19,625,35219,113125,36,1
59,60313,Unemployed,28,452,52160,187385,12,0
40,35083,Employed,25,739,25792,223512,120,0
61,52996,Employed,11,569,33467,216142,180,0
60,223251,Unemployed,17,745,20700,262927,360,1
59,28869,Unemployed,4,559,11546,50095,48,0
44,25775,Self-Employed,22,641,3252,12415,48,1
25,77044,Employed,5,576,53459,193799,36,1
24,85899,Self-Employed,4,547,22412,98526,24,0
57,38064,Employed,15,795,15088,181118,24,1
29,43551,Employed,15,477,22963,256514,60,0
21,82712,Unemployed,23,614,67450,225357,12,1
59,240945,Employed,12,612,62021,173197,48,0
23,81520,Employed,0,631,50719,134887,48,0
39,74675,Self-Employed,1,453,37564,93791,36,0
53,78055,Employed,15,626,67391,242501,36,0
36,91481,Self-Employed,11,676,27798,96649,240,1
57,217426,Unemployed,18,656,19581,250300,60,1
37,231880,Self-Employed,23,586,31802,90024,24,1
39,66049,Unemployed,12,720,45270,80277,180,1
49,19855,Unemployed,8,735,5788,234577,12,1
25,88209,Employed,16,500,45833,289769,360,0
22,178229,Self-Employed,6,584,67054,35949,48,1
40,18554,Employed,2,750,12360,258279,120,1
56,36562,Employed,24,449,15438,259511,60,1
42,81243,Unemployed,8,707,77219,81872,120,0
37,56753,Employed,26,643,50516,264480,48,1
29,42962,Self-Employed,17,599,24944,48764,180,1
53,95039,Employed,17,676,27586,58053,12,1
38,156897,Self-Employed,26,741,76162,268013,12,1
47,70471,Employed,10,580,8024,239864,12,0
29,52855,Self-Employed,10,755,49831,179499,24,1
57,47697,Self-Employed,25,693,7352,215124,48,1
27,18644,Self-Employed,13,647,1637,298925,60,1
25,75529,Unemployed,12,634,47406,152026,36,0
21,42187,Employed,24,514,14387,247998,180,0
56,21121,Employed,16,517,6972,136208,120,0
55,38590,Employed,29,850,27886,268844,180,1
43,36548,Self-Employed,5,536,14955,180121,120,0
50,23912,Employed,27,552,13545,266798,180,0
39,93453,Self-Employed,28,670,8328,20534,12,1
39,17242,Employed,12,682,12207,201846,12,0
49,59071,Employed,4,742,15810,166081,12,0
21,233888,Self-Employed,2,850,10655,183969,360,1
29,198117,Employed,18,745,72309,238192,180,1
39,208696,Employed,20,825,23185,179514,24,1
42,42763,Unemployed,27,542,30835,16064,12,1
22,21476,Unemployed,9,542,14005,50095,180,0
31,25858,Self-Employed,16,581,15240,281827,24,0
35,88536,Employed,4,433,58847,278721,48,1
57,64255,Self-Employed,27,680,34693,113944,180,1
41,213683,Employed,29,640,39178,299965,240,1
60,73722,Unemployed,11,528,21839,294360,24,1
46,85713,Employed,5,850,12226,98405,12,1
52,19251,Employed,21,703,15796,130814,120,0
57,40203,Employed,21,684,35959,130829,360,0
60,52742,Employed,7,493,2378,186429,120,1
40,154286,Self-Employed,2,640,63344,253724,36,1
50,29334,Employed,13,599,919,172679,36,0
25,72835,Self-Employed,1,568,11094,272885,24,1
25,44996,Employed,21,803,5232,57691,120,1
31,68554,Self-Employed,17,598,570,24288,360,1
42,154575,Employed,7,665,61845,66169,12,1
34,84435,Self-Employed,10,450,4627,248877,36,1
46,76876,Self-Employed,1,444,53027,291133,240,1
63,26413,Employed,16,743,13455,30517,180,1
47,93327,Unemployed,19,676,42788,120945,12,1
28,16230,Employed,6,448,3856,40903,36,0
54,37449,Employed,5,524,2775,116497,48,1
40,18970,Self-Employed,28,601,4134,258347,48,1
42,102453,Employed,22,614,47893,180745,180,1
52,50692,Employed,23,507,46525,174302,12,0
51,22657,Employed,21,728,5208,78616,180,1
37,18103,Employed,12,644,15787,122797,36,0
55,35527,Employed,24,820,35303,39700,12,1
26,53900,Self-Employed,21,679,48920,114388,120,1
48,31436,Employed,1,498,719,275741,120,0
28,101874,Unemployed,11,767,12100,155872,360,1
41,86675,Self-Employed,12,669,10878,270129,24,1
33,82933,Employed,23,732,77485,96911,180,1
48,58108,Self-Employed,16,647,52509,202478,24,1
50,26601,Employed,22,528,16526,299067,60,1
50,121027,Unemployed,11,715,35554,280553,360,1
32,179037,Employed,26,608,52265,21061,36,1
63,30198,Self-Employed,20,536,24999,295198,240,0
58,65068,Employed,16,579,58160,229404,36,1
60,81830,Self-Employed,5,529,1051,81918,60,0
24,51939,Employed,3,541,24423,231999,12,1
60,53255,Unemployed,11,522,43919,218175,240,0
45,22678,Employed,9,676,11273,299098,36,1
23,34738,Employed,20,722,32299,282785,24,0
40,27427,Self-Employed,0,817,20354,291073,60,0
42,28780,Self-Employed,25,606,249,24309,48,1
45,65464,Employed,11,735,25105,83484,36,1
43,82946,Employed,16,775,3783,60798,60,1
57,29391,Unemployed,1,692,4939,271150,240,1
48,18961,Self-Employed,23,850,13558,137659,360,0
42,66212,Employed,9,758,43618,52111,12,1
46,89317,Unemployed,2,602,72045,242069,240,0
47,31652,Unemployed,5,596,406,289697,60,0
26,23901,Unemployed,13,672,14719,34227,180,0
63,30086,Employed,3,690,10283,67780,12,0
21,77663,Self-Employed,13,666,39791,165206,48,1
36,70607,Employed,12,595,28807,205462,360,1
22,148219,Self-Employed,24,678,53218,286373,120,1
25,67356,Self-Employed,12,675,41247,240113,24,1
52,158207,Employed,9,612,3722,176103,48,1
37,81938,Self-Employed,21,618,27386,167793,36,0
32,26533,Unemployed,22,553,13001,152580,60,0
43,27317,Employed,24,715,12662,142854,360,1
55,23307,Employed,20,736,7381,163598,180,1
22,135865,Employed,15,459,73914,6881,120,0
63,62831,Employed,6,781,5877,44553,240,1
60,237596,Self-Employed,28,536,25095,108119,48,1
49,30972,Self-Employed,19,564,19579,235780,60,0
35,55790,Employed,20,710,24860,85152,120,1
22,17965,Self-Employed,29,721,16428,39578,180,0
63,24021,Employed,14,549,14226,149933,120,0
35,23339,Employed,22,574,23165,8748,120,0
49,70497,Employed,3,739,54460,51418,60,1
30,75131,Self-Employed,13,832,14758,251686,240,1
41,34782,Employed,10,716,21889,231921,240,1
39,21553,Unemployed,2,577,16395,185418,12,0
36,88443,Employed,24,647,33065,247471,12,1
61,23745,Self-Employed,19,612,23281,166050,360,0
52,84632,Employed,25,542,48803,199549,24,0
34,131486,Employed,28,841,16663,254737,60,1
34,45247,Employed,3,490,27564,295979,48,0
23,32046,Self-Employed,7,737,22258,39782,120,0
37,22148,Self-Employed,16,573,16755,28382,240,0
34,19942,Employed,27,678,12370,108533,120,1
52,133298,Employed,24,805,21316,238979,360,1
21,137014,Employed,28,541,14389,73111,36,0
23,60350,Employed,1,770,34844,139066,12,1
55,80299,Employed,6,764,16626,242330,120,1
63,86988,Self-Employed,21,576,40745,22241,36,1
63,38628,Employed,6,577,4875,190550,180,1
46,55882,Employed,5,566,24489,6466,48,0
27,62886,Employed,18,542,34420,223532,60,1
33,60597,Unemployed,6,424,30133,248688,180,0
48,225705,Employed,0,532,48291,163477,36,0
37,58157,Employed,23,801,41203,197933,180,1
27,25064,Employed,6,798,21999,16569,120,1
53,45867,Employed,3,850,45512,102799,240,1
63,20402,Employed,14,769,16122,143426,48,1
59,45037,Employed,29,645,6411,175205,48,1
27,139593,Employed,5,566,7211,14927,240,1
57,229005,Self-Employed,0,689,50013,221486,360,0
32,66140,Employed,1,601,22195,272750,60,1
38,88849,Unemployed,11,682,62320,34793,240,1
64,66025,Employed,15,770,28557,128099,36,1
29,24145,Self-Employed,9,729,12070,128769,180,1
23,75163,Employed,14,599,36133,102628,36,0
28,83129,Employed,2,662,38220,261008,60,1
35,59880,Employed,9,576,9706,14837,240,1
45,15305,Employed,15,557,3862,19506,120,0
63,20649,Self-Employed,18,699,1079,100386,360,1
40,22235,Unemployed,7,702,19037,228660,60,1
38,159806,Employed,17,655,69322,26650,36,1
46,21893,Employed,18,717,7669,191443,180,1
53,17962,Employed,4,794,14745,10730,24,1
60,85349,Employed,21,689,20923,276020,240,1
42,118756,Employed,22,567,17010,132039,180,1
43,73949,Employed,0,539,34650,108889,240,0
60,57065,Employed,5,707,42330,34320,60,1
51,17580,Employed,19,596,11664,209827,360,0
61,84362,Employed,13,493,2881,297007,36,1
55,68311,Employed,23,745,22499,107552,12,1
63,52632,Self-Employed,24,655,7349,32464,12,1
53,64299,Employed,12,494,14175,142263,180,0
30,83000,Employed,28,836,30024,297878,48,1
29,161833,Employed,2,827,3332,71323,24,1
49,79683,Employed,8,699,66,119159,360,1
31,20730,Employed,12,536,14643,37966,24,0
43,53798,Employed,4,725,20470,22118,360,1
40,71926,Self-Employed,6,788,44130,168402,120,1
25,20074,Self-Employed,23,731,3432,65430,360,1
55,54605,Self-Employed,29,600,21493,25711,36,1
48,63122,Unemployed,6,631,31898,217489,24,0
26,32297,Employed,23,574,7037,229737,36,1
34,38474,Self-Employed,29,571,4922,248015,36,0
52,35181,Self-Employed,7,535,20213,76916,240,0
21,40463,Employed,10,732,38185,267048,24,1
57,56766,Self-Employed,2,590,8307,176277,12,1
43,204165,Employed,5,681,15386,126635,180,1
23,36181,Self-Employed,28,692,26957,159721,24,1
49,43775,Employed,26,653,14645,36105,12,1
45,77203,Self-Employed,4,699,9130,94360,180,1
41,74273,Unemployed,4,756,28307,249159,36,1
60,21852,Employed,21,697,12444,14637,12,1
21,21240,Employed,26,717,1706,48066,12,1
61,34894,Employed,17,775,6256,218286,12,1
43,73266,Employed,6,605,71927,201753,180,0
42,184000,Employed,20,763,62894,170707,36,1
26,34583,Unemployed,21,661,240,254200,240,1
27,39658,Employed,29,742,18557,164132,36,1
54,21080,Employed,16,619,1317,294238,360,0
42,30927,Employed,17,698,28124,40525,60,1
21,37746,Employed,21,603,23065,270039,12,0
63,26962,Employed,14,616,21087,37769,24,1
57,74629,Self-Employed,21,807,35897,194637,36,1
53,20398,Unemployed,0,705,7996,118793,180,0
36,48997,Employed,2,636,47682,112041,12,0
43,50754,Self-Employed,6,674,17587,113255,120,1
27,213549,Employed,16,778,11360,146385,36,1
62,54271,Self-Employed,14,730,3565,157049,24,1
27,60056,Employed,25,747,992,77394,360,1
63,44136,Employed,0,649,9533,270864,48,0
50,34385,Employed,16,628,13865,38324,24,1
34,34888,Employed,23,745,11468,234530,60,1
46,54873,Employed,16,674,38367,154172,36,1
62,44368,Employed,2,765,19810,221775,48,1
27,58733,Employed,24,628,23817,34813,240,1
48,26397,Self-Employed,10,672,7328,57344,48,1
24,27185,Unemployed,0,557,15116,25045,240,0
64,22067,Employed,22,725,15613,273591,24,1
23,181647,Employed,1,531,77355,121220,120,0
56,188827,Self-Employed,20,590,34565,94242,60,1
27,79434,Employed,22,410,36132,194826,120,1
41,196311,Self-Employed,22,654,3240,50689,12,1
51,15882,Employed,1,726,14441,33885,360,0
25,89793,Employed,7,634,64952,229126,360,1
31,25875,Employed,11,444,10492,194167,120,0
42,35116,Unemployed,22,443,21797,275012,120,0
26,33064,Self-Employed,20,652,21751,152525,60,1
59,88570,Employed,11,578,17400,281393,360,1
54,204919,Employed,6,589,13543,230568,60,1
53,63777,Employed,21,521,6727,246532,60,1
31,55577,Employed,24,781,16195,163761,36,1
50,24145,Employed,23,554,20536,54156,120,1
49,36762,Self-Employed,1,630,27594,120819,24,0
42,53569,Self-Employed,11,672,21691,160976,60,1
31,26593,Employed,14,548,21865,22143,180,0
52,26618,Employed,3,706,20900,123422,60,1
47,24702,Employed,28,517,8446,61116,360,1
46,64831,Employed,19,763,57540,163177,24,1
62,42637,Self-Employed,6,611,11831,118768,240,0
30,28994,Employed,21,551,26627,282342,24,1
56,93681,Employed,28,541,42292,110386,36,1
54,74765,Employed,17,565,72267,176635,60,1
21,42911,Employed,2,724,28333,288817,120,1
58,48624,Employed,1,653,44398,124975,36,1
44,71099,Self-Employed,3,794,15823,51015,48,1
42,20233,Employed,3,625,12118,8317,60,1
43,38195,Employed,12,681,402,217369,48,1
39,15364,Employed,26,632,13065,286567,360,1
25,53833,Self-Employed,20,699,17264,204757,60,1
29,16168,Employed,7,608,3555,200889,12,1
53,79132,Employed,9,643,55390,228032,12,0
47,186055,Employed,5,674,79557,164762,12,0
23,60756,Employed,22,540,38867,223547,24,1
43,193920,Employed,1,667,41662,232369,48,1
47,26182,Self-Employed,21,693,19194,95054,12,0
60,143144,Employed,23,642,51012,135193,360,1
38,23720,Employed,14,635,10139,186143,36,0
39,32483,Employed,14,620,12390,200413,24,0
52,45851,Self-Employed,17,616,26183,203110,24,1
38,54266,Self-Employed,7,574,9219,207918,48,1
48,38755,Employed,15,525,33171,97837,180,1
44,62200,Employed,17,802,22990,34661,12,1
61,46130,Employed,1,657,33477,119161,120,0
54,173021,Employed,2,667,11826,149962,12,1
22,26267,Employed,4,694,13004,165020,240,0
44,86562,Employed,15,536,23147,82095,48,1
33,27954,Employed,8,560,2817,270976,48,1
48,68666,Employed,2,603,63044,216027,180,0
61,25932,Self-Employed,15,471,639,37940,36,1
25,75654,Self-Employed,1,606,3880,48539,360,1
36,79307,Employed,22,644,54362,58997,120,1
42,59790,Self-Employed,0,821,2833,206893,120,1
50,69150,Employed,15,400,26639,284349,120,1
48,66973,Employed,22,545,31932,257396,180,1
58,60950,Self-Employed,25,631,47663,127002,360,0
59,30229,Unemployed,0,603,17509,73653,24,0
31,66746,Employed,27,510,61720,192877,48,1
22,35689,Employed,27,580,26708,70584,120,0
23,68036,Self-Employed,11,497,15620,35461,12,1
23,99079,Employed,1,749,28477,160642,120,1
31,42823,Employed,7,702,12658,296829,60,1
40,79993,Employed,25,732,77603,196349,60,1
43,18815,Unemployed,24,742,3320,146822,240,0
49,78826,Self-Employed,4,682,64360,54434,24,0
47,24344,Employed,2,716,564,134529,24,1
32,248099,Employed,0,645,29299,271285,180,1
42,149902,Unemployed,3,616,49103,39831,12,1
35,55096,Self-Employed,18,483,34864,278945,12,1
35,22169,Unemployed,17,620,18207,272291,12,0
55,80733,Employed,18,608,44565,6132,48,0
56,20795,Employed,15,684,5009,194973,24,1
64,28926,Employed,27,771,6093,185324,24,1
34,61602,Employed,19,675,1537,261210,60,1
24,35619,Employed,4,687,4067,107499,24,1
49,22281,Self-Employed,28,708,14670,195545,24,1
64,40074,Employed,5,729,27608,28525,48,1
53,77383,Self-Employed,4,592,37420,145319,12,1
50,58635,Employed,25,503,21059,104864,36,1
64,17722,Employed,8,468,6719,263078,24,0
33,33029,Self-Employed,23,604,15332,150693,180,1
23,161805,Employed,27,542,72377,135864,12,0
31,22129,Employed,21,611,16874,122116,240,0
29,204151,Employed,14,477,69959,263970,240,1
47,32085,Self-Employed,27,604,14290,111080,180,1
52,61575,Employed,16,822,38169,171862,12,1
